时间,月最高气温,月最低气温,月平均最高气温,月平均最低气温
2011年1月,8,-2,5,0
2012年1月,11,0,7,2
2013年1月,17,-2,10,2
2014年1月,16,-2,11,2
2015年1月,14,1,11,3
2016年1月,16,-2,9,2
2017年1月,14,0,11,4
2018年1月,15,-2,9,2
2019年1月,13,1,9,3
2020年1月,13,3,9,5
2021年1月,15,-1,9,3
2022年1月,15,3,10,5
2011年2月,18,1,12,5
2012年2月,15,1,9,3
2013年2月,20,2,14,5
2014年2月,17,-1,10,4
2015年2月,19,0,13,5
2016年2月,21,-2,13,3
2017年2月,19,3,12,5
2018年2月,19,-1,12,5
2019年2月,21,1,11,5
2020年2月,20,2,13,7
2021年2月,22,6,16,9
2022年2月,17,2,9,4
2011年3月,19,3,14,6
2012年3月,23,2,15,8
2013年3月,27,6,22,11
2014年3月,24,5,16,8
2015年3月,25,3,18,10
2016年3月,23,4,18,9
2017年3月,23,6,16,8
2018年3月,28,8,21,12
2019年3月,27,4,17,9
2020年3月,26,8,18,11
2021年3月,26,6,18,10
2022年3月,30,7,21,12
2011年4月,33,10,23,14
2012年4月,29,10,23,14
2013年4月,31,9,24,14
2014年4月,28,10,23,14
2015年4月,31,10,24,14
2016年4月,28,10,24,14
2017年4月,29,10,23,13
2018年4月,30,6,25,15
2019年4月,32,11,25,15
2020年4月,31,9,21,12
2021年4月,29,10,19,13
2022年4月,30,8,23,13
2011年5月,34,13,27,17
2012年5月,33,16,26,18
2013年5月,33,15,27,17
2014年5月,32,14,26,17
2015年5月,33,14,28,18
2016年5月,33,13,26,17
2017年5月,33,14,27,17
2018年5月,35,14,27,18
2019年5月,31,12,24,16
2020年5月,34,14,28,18
2021年5月,31,14,25,17
2022年5月,31,11,25,16
2011年6月,34,18,29,21
2012年6月,31,17,27,20
2013年6月,34,18,30,21
2014年6月,32,18,27,20
2015年6月,33,19,29,21
2016年6月,36,17,31,21
2017年6月,33,0,28,19
2018年6月,33,17,28,20
2019年6月,32,18,28,20
2020年6月,34,18,29,21
2021年6月,31,16,28,20
2022年6月,35,19,30,21
2011年7月,33,19,29,21
2012年7月,32,21,28,22
2013年7月,33,21,30,23
2014年7月,35,20,30,22
2015年7月,36,20,31,21
2016年7月,35,20,31,22
2017年7月,36,22,31,23
2018年7月,34,21,30,23
2019年7月,34,19,29,21
2020年7月,34,19,30,21
2021年7月,36,21,31,23
2022年7月,39,20,33,23
2011年8月,35,19,31,22
2012年8月,35,20,31,23
2013年8月,36,20,32,23
2014年8月,34,19,29,21
2015年8月,35,19,30,21
2016年8月,37,19,32,23
2017年8月,35,20,30,23
2018年8月,35,21,32,23
2019年8月,35,17,31,22
2020年8月,35,19,29,22
2021年8月,36,18,29,22
2011年9月,34,14,25,18
2012年9月,31,14,25,18
2013年9月,31,14,25,18
2014年9月,29,17,26,19
2015年9月,31,16,25,18
2016年9月,31,16,26,19
2017年9月,31,16,26,19
2018年9月,34,14,25,18
2019年9月,29,15,24,18
2020年9月,32,15,24,18
2020年9月,32,15,24,18
2021年9月,30,18,27,20
2011年10月,25,10,21,14
2012年10月,24,11,21,14
2013年10月,30,12,22,14
2014年10月,29,11,22,15
2015年10月,27,11,23,15
2016年10月,30,6,22,15
2017年10月,28,9,19,14
2018年10月,25,10,19,13
2019年10月,26,10,20,14
2020年10月,22,11,18,13
2021年10月,29,11,18,14
2011年11月,21,7,18,11
2012年11月,23,4,15,8
2013年11月,20,4,16,9
2014年11月,20,6,15,9
2015年11月,21,6,17,11
2016年11月,22,6,18,10
2017年11月,23,1,16,10
2018年11月,23,5,15,9
2019年11月,21,5,14,9
2019年11月,21,5,14,9
2020年11月,21,4,16,10
2021年11月,19,4,14,8
2011年12月,14,1,10,4
2012年12月,14,-2,10,3
2013年12月,17,-1,11,2
2014年12月,14,-2,11,3
2015年12月,17,0,11,4
2017年12月,18,-5,12,4
2018年12月,15,0,8,4
2019年12月,15,3,11,6
2020年12月,11,0,7,3
2021年12月,17,0,11,6
